File	Individual
20251114_GM0038_bgal_sensitivity2-02-Scene-083-P6-C04.czi	C04
20251114_GM0038_bgal_sensitivity2-02-Scene-084-P5-C04.czi	C04
20251114_GM0038_bgal_sensitivity2-02-Scene-085-P3-C03.czi	C03
20251114_GM0038_bgal_sensitivity2-02-Scene-086-P2-C03.czi	C03
20251114_GM0038_bgal_sensitivity2-02-Scene-087-P1-C03.czi	C03
20251114_GM0038_bgal_sensitivity2-02-Scene-088-P5-C03.czi	C03
20251114_GM0038_bgal_sensitivity2-02-Scene-089-P3-C02.czi	C02
20251114_GM0038_bgal_sensitivity2-02-Scene-091-P2-C02.czi	C02
20251114_GM0038_bgal_sensitivity2-02-Scene-092-P3-D02.czi	D02
20251114_GM0038_bgal_sensitivity2-02-Scene-093-P2-D02.czi	D02
20251114_GM0038_bgal_sensitivity2-02-Scene-094-P4-D02.czi	D02
20251114_GM0038_bgal_sensitivity2-02-Scene-095-P1-D02.czi	D02
20251114_GM0038_bgal_sensitivity2-02-Scene-096-P5-D02.czi	D02
20251114_GM0038_bgal_sensitivity2-02-Scene-097-P1-D03.czi	D03
20251114_GM0038_bgal_sensitivity2-02-Scene-098-P3-D03.czi	D03
20251114_GM0038_bgal_sensitivity2-02-Scene-099-P2-D03.czi	D03
20251114_GM0038_bgal_sensitivity2-02-Scene-100-P5-D03.czi	D03
20251114_GM0038_bgal_sensitivity2-02-Scene-101-P1-D04.czi	D04
20251114_GM0038_bgal_sensitivity2-02-Scene-102-P2-D04.czi	D04
20251114_GM0038_bgal_sensitivity2-02-Scene-103-P3-D04.czi	D04
20251114_GM0038_bgal_sensitivity2-02-Scene-104-P4-D04.czi	D04
20251114_GM0038_bgal_sensitivity2-02-Scene-105-P5-D04.czi	D04
20251114_GM0038_bgal_sensitivity2-02-Scene-106-P6-D04.czi	D04
20251114_GM0038_bgal_sensitivity2-02-Scene-107-P4-D05.czi	D05
20251114_GM0038_bgal_sensitivity2-02-Scene-109-P3-D05.czi	D05
20251114_GM0038_bgal_sensitivity2-02-Scene-110-P6-D05.czi	D05
20251114_GM0038_bgal_sensitivity2-02-Scene-111-P1-D06.czi	D06
20251114_GM0038_bgal_sensitivity2-02-Scene-112-P2-D06.czi	D06
20251114_GM0038_bgal_sensitivity2-02-Scene-113-P3-D06.czi	D06
20251114_GM0038_bgal_sensitivity2-02-Scene-114-P6-D06.czi	D06
20251114_GM0038_bgal_sensitivity2-02-Scene-116-P2-D07.czi	D07
20251114_GM0038_bgal_sensitivity2-02-Scene-117-P3-D07.czi	D07
20251114_GM0038_bgal_sensitivity2-02-Scene-118-P4-D07.czi	D07
20251114_GM0038_bgal_sensitivity2-02-Scene-119-P5-D07.czi	D07
20251114_GM0038_bgal_sensitivity2-02-Scene-120-P6-D07.czi	D07
20251114_GM0038_bgal_sensitivity2-02-Scene-121-P1-D08.czi	D08
20251114_GM0038_bgal_sensitivity2-02-Scene-122-P2-D08.czi	D08
20251114_GM0038_bgal_sensitivity2-02-Scene-123-P3-D08.czi	D08
20251114_GM0038_bgal_sensitivity2-02-Scene-124-P4-D08.czi	D08
20251114_GM0038_bgal_sensitivity2-02-Scene-125-P5-D08.czi	D08
20251114_GM0038_bgal_sensitivity2-02-Scene-126-P6-D08.czi	D08
20251114_GM0038_bgal_sensitivity2-02-Scene-127-P1-D09.czi	D09
20251114_GM0038_bgal_sensitivity2-02-Scene-128-P2-D09.czi	D09
20251114_GM0038_bgal_sensitivity2-02-Scene-130-P4-D09.czi	D09
20251114_GM0038_bgal_sensitivity2-02-Scene-131-P5-D09.czi	D09
20251114_GM0038_bgal_sensitivity2-02-Scene-132-P6-D09.czi	D09
20251114_GM0038_bgal_sensitivity2-02-Scene-133-P1-D10.czi	D10
20251114_GM0038_bgal_sensitivity2-02-Scene-134-P3-D10.czi	D10
20251114_GM0038_bgal_sensitivity2-02-Scene-135-P4-D10.czi	D10
20251114_GM0038_bgal_sensitivity2-02-Scene-136-P5-D10.czi	D10
20251114_GM0038_bgal_sensitivity2-02-Scene-137-P6-D10.czi	D10
20251114_GM0038_bgal_sensitivity2-02-Scene-138-P1-D11.czi	D11
20251114_GM0038_bgal_sensitivity2-02-Scene-139-P2-D11.czi	D11
20251114_GM0038_bgal_sensitivity2-02-Scene-140-P3-D11.czi	D11
20251114_GM0038_bgal_sensitivity2-02-Scene-141-P4-D11.czi	D11
20251114_GM0038_bgal_sensitivity2-02-Scene-142-P5-D11.czi	D11
